Time,[Mb/s]
2019-12-19T10:06:32.207156,1800
2019-12-19T10:06:33.209320,1887
2019-12-19T10:06:34.210752,1839
2019-12-19T10:06:35.211170,1917
2019-12-19T10:06:36.212473,1868
2019-12-19T10:06:37.213709,1842
2019-12-19T10:06:38.214921,1843
2019-12-19T10:06:39.225080,1796
2019-12-19T10:06:40.226531,1807
2019-12-19T10:06:41.227220,1854
2019-12-19T10:06:42.228503,1830
2019-12-19T10:06:43.229762,1886
2019-12-19T10:06:44.230982,1856
2019-12-19T10:06:45.232262,1810
2019-12-19T10:06:46.233613,1813
2019-12-19T10:06:47.235152,1894
2019-12-19T10:06:48.236451,1775
2019-12-19T10:06:49.237871,1840
2019-12-19T10:06:50.239489,1835
2019-12-19T10:06:51.240722,1731
